time,cumulative_moles_precipitated_quartz,mass_heated_this_timestep,production_temperature
0,0,0,0
100000,23.310108544907,99998596.072176,50
200000,45.363586550326,99998674.934646,50.063218906558
300000,65.789218752389,99998772.742442,50.113013432626
400000,84.011672552413,99998905.118631,50.18504561736
500000,99.89467464497,99999045.682691,50.311401185392
600000,113.60601288151,99999176.165354,50.523176410888
700000,125.44908565164,99999288.41857,50.850014801038
800000,135.74718558894,99999381.247011,51.318686575659
900000,144.78708393567,99999456.845034,51.951670710075
1000000,152.80201562085,99999518.429325,52.766123243911
1100000,159.97419730158,99999569.065276,53.773334018581
1200000,166.44421620969,99999611.254157,54.978641458261
1300000,172.32104797143,99999646.895326,56.381719375132
1400000,177.69038064466,99999677.387998,57.977133989151
1500000,182.62082674904,99999703.758142,59.75507364606
1600000,187.16832997918,99999726.766954,61.702167282219
1700000,191.37923498459,99999746.991185,63.802324549199
1800000,195.29243427063,99999764.878592,66.037547430465
1900000,198.94089862012,99999780.784976,68.388678494361
2000000,202.3527988677,99999794.998739,70.836063898008
