x,y,z,id,massfrac0
-0.5,0,0,0,0
-0.475,0,0,0.025,1.2185845313283e-10
-0.45,0,0,0.05,2.7875098254322e-10
-0.425,0,0,0.075,6.3463321956916e-10
-0.4,0,0,0.1,1.4377312431802e-09
-0.375,0,0,0.125,3.2402379820496e-09
-0.35,0,0,0.15,7.262872887855e-09
-0.325,0,0,0.175,1.6186459270462e-08
-0.3,0,0,0.2,3.5857277908009e-08
-0.275,0,0,0.225,7.8930455175076e-08
-0.25,0,0,0.25,1.725845915294e-07
-0.225,0,0,0.275,3.7470118186847e-07
-0.2,0,0,0.3,8.0744883015493e-07
-0.175,0,0,0.325,1.7262242659492e-06
-0.15,0,0,0.35,3.6594785907458e-06
-0.125,0,0,0.375,7.68862125637e-06
-0.1,0,0,0.4,1.6000363908247e-05
-0.075,0,0,0.425,3.2959656814176e-05
-0.05,0,0,0.45,6.7157912077041e-05
-0.025,0,0,0.475,0.00013524790477795
0,0,0,0.5,0.00026896892419674
0.025,0,0,0.525,0.00052770085410672
0.05,0,0,0.55,0.0010202663082888
0.075,0,0,0.575,0.0019415450357046
0.1,0,0,0.6,0.0036315382884244
0.125,0,0,0.625,0.006666011447696
0.15,0,0,0.65,0.011986869532965
0.175,0,0,0.675,0.021073444979416
0.2,0,0,0.7,0.036137409162507
0.225,0,0,0.725,0.060287546125658
0.25,0,0,0.75,0.097552506948588
0.275,0,0,0.775,0.15257819252791
0.3,0,0,0.8,0.22976691971109
0.325,0,0,0.825,0.33167611840668
0.35,0,0,0.85,0.45676247154529
0.375,0,0,0.875,0.59713705662434
0.4,0,0,0.9,0.73779010801968
0.425,0,0,0.925,0.85920858892348
0.45,0,0,0.95,0.94437033074974
0.475,0,0,0.975,0.98781175470473
0.5,0,0,1,1
