time,p0,p100,uz0
-3600,0,0,0
0,0,1000000,0
3600,1294.0952255126,1000569.0918262,-5.0315715234701e-06
7200,2500,1001083.3839732,-9.4457354195964e-06
10800,3535.5339059327,1001560.4386716,-1.301011773462e-05
14400,4330.1270189222,1001984.0285102,-1.5516710660476e-05
18000,4829.6291314453,1002331.7289591,-1.6816801275028e-05
21600,5000,1002581.3467418,-1.6837671741841e-05
25200,4829.6291314453,1002714.8005614,-1.5590307298284e-05
28800,4330.1270189222,1002720.6834436,-1.316997522927e-05
32400,3535.5339059327,1002595.7691974,-9.750426287528e-06
36000,2500,1002345.6158172,-5.5724390412509e-06
39600,1294.0952255126,1001984.3793487,-9.2763854767174e-07
43200,6.1232339957368e-13,1001533.9395368,3.8612335790351e-06
46800,-1294.0952255126,1001022.4456032,8.4622152199373e-06
50400,-2500,1000482.4074278,1.2556673999702e-05
54000,-3535.5339059327,999948.47604541,1.5860964526385e-05
57600,-4330.1270189222,999455.07193468,1.8145711100382e-05
61200,-4829.6291314453,999034.02645709,1.9251398716611e-05
64800,-5000,998712.39906676,1.9099208100254e-05
68400,-4829.6291314453,998510.61997733,1.7696355337235e-05
72000,-4330.1270189222,998441.08529287,1.5135571546288e-05
75600,-3535.5339059327,998507.30051937,1.1588757597023e-05
79200,-2500,998703.63087239,7.2952459594731e-06
82800,-1294.0952255126,999015.67538,2.5454693572777e-06
86400,-1.2246467991474e-12,999421.23924008,-2.3388510391518e-06
90000,1294.0952255126,999891.83810865,-7.0266479245621e-06
93600,2500,1000394.6317424,-1.1200085507743e-05
97200,3535.5339059327,1000894.65516,-1.4576234014191e-05
100800,4330.1270189222,1001357.1952141,-1.6926364092458e-05
104400,4829.6291314453,1001750.150561,-1.8091546361075e-05
108000,5000,1002046.2141504,-1.7993493120321e-05
111600,4829.6291314453,1002224.7294562,-1.6639903481811e-05
115200,4330.1270189222,1002273.0939079,-1.4123947742954e-05
118800,3535.5339059327,1002187.6138431,-1.0617926226034e-05
122400,2500,1001973.7526831,-6.3615347949869e-06
126000,1294.0952255126,1001645.7553869,-1.645536802317e-06
129600,1.836970198721e-12,1001225.6747484,3.2080457432274e-06
133200,-1294.0952255126,1000741.8658658,7.8678717937413e-06
136800,-2500,1000227.0513604,1.2015856465035e-05
140400,-3535.5339059327,999716.08917425,1.5368843316726e-05
144000,-4330.1270189222,999243.59504792,1.7697896737836e-05
147600,-4829.6291314453,998841.58168512,1.8843899655743e-05
151200,-5000,998537.2754747,1.8728393575934e-05
154800,-4829.6291314453,998351.25954202,1.7358922190337e-05
158400,-4330.1270189222,998296.06966406,1.4828514367595e-05
162000,-3535.5339059327,998375.33872221,1.1309341732637e-05
165600,-2500,998583.54798563,7.0409830373586e-06
169200,-1294.0952255126,998906.40216462,2.3140950646196e-06
172800,-2.4492935982947e-12,999321.80266552,-2.5493971531203e-06
176400,1294.0952255126,999801.35271298,-7.2182408144887e-06
180000,2500,1000312.2917604,-1.1374431337933e-05
183600,3535.5339059327,1000819.7273544,-1.4734885356949e-05
187200,4330.1270189222,1001289.0123499,-1.7070733756402e-05
190800,4829.6291314453,1001688.1054655,-1.822291997364e-05
194400,5000,1001989.7543072,-1.8113040577092e-05
198000,4829.6291314453,1002173.3520856,-1.674868936491e-05
201600,4330.1270189222,1002226.3414898,-1.4222940801441e-05
