time,core_delta_p,core_p_in,core_p_out
0,0,0,0
10,0.47877277608495,1000000.4887473,1000000.0099745
20,0.34646203333978,1000000.35368,1000000.0072179
30,0.34646203333978,1000000.35368,1000000.0072179
40,0.34646203333978,1000000.35368,1000000.0072179
50,0.34646203333978,1000000.35368,1000000.0072179
60,0.34646203333978,1000000.35368,1000000.0072179
70,0.34646203333978,1000000.35368,1000000.0072179
80,0.34646203333978,1000000.35368,1000000.0072179
90,0.34646203333978,1000000.35368,1000000.0072179
100,0.34646203333978,1000000.35368,1000000.0072179
