time,core_T_out,core_delta_p,core_heating:power_shape_fn:integral,core_p_in,core_p_out,hx_pri_T_out,power_to_coolant,total_power:power
0,0,0,0.00031415926535898,0,0,0,0,2000
1,300.05114371303,1.7165783978999,0.00031415926535898,1000006.8262606,1000005.1096822,300.00070247537,4.4506422951686,2000
3,300.20778821555,0.36589918669779,0.00031415926535898,1000001.0124912,1000000.6465921,300.02304469736,13.254304016645,2000
7,300.54284477054,0.37166699569207,0.00031415926535898,1000001.0305067,1000000.6588397,300.17507207392,30.684365810014,2000
15,301.20474881776,0.37635506386869,0.00031415926535898,1000001.0658568,1000000.6895018,300.61221321657,64.936304682412,2000
31,302.48343687567,0.3854839213891,0.00031415926535898,1000001.1340051,1000000.7485211,301.51329976262,131.09803335655,2000
63,304.87172178923,0.40280417585745,0.00031415926535898,1000001.261057,1000000.8582528,303.20456537923,254.6723877838,2000
127,309.05583321701,0.43390735716093,0.00031415926535898,1000001.4829228,1000001.0490154,306.16774757784,471.16560110851,2000
255,315.57717590039,0.48397122509778,0.00031415926535898,1000001.8268285,1000001.3428573,310.7854718984,808.59269724609,2000
500,323.67165816172,0.54793590924237,0.00031415926535898,1000002.2502171,1000001.7022812,316.51583579727,1227.4180307505,2000
