time,core_T_out,core_delta_p,core_heating:power_shape_fn:integral,core_p_in,core_p_out,hx_pri_T_out,m_dot_pump,power_to_coolant,pump_head,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,pump:T,pump:p,pump:rhoEV,pump:rhoV,pump:rhouV,pump:rhovV,pump:rhowV,pump:vel,total_power:power
0,0,0,0.00031415926535898,0,0,0,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,300,1000000,14.925373134328,1.6036319441142e-05,0,0,0,0,300,1000000,149.25373134328,0.00016036319441142,0,0,0,0,2000
1,300.01135143839,0.14380183501635,0.00031415926535898,1000000.3013326,1000000.1575307,299.99997060024,0.0009423636584542,0.68330228070636,0.05,14.925453163662,1.6036370865316e-05,0,0,1.2493968933268e-06,14.925300014051,1.6035676749891e-05,0,0,1.2499313831279e-06,300.00000064876,999999.99997917,14.925373178925,1.6036319406129e-05,1.2001304627765e-06,0,5.2874063529978e-10,0.074838281082831,300.00000545907,1000000.0382367,149.25373750201,0.00016036319762506,-1.2037033640998e-05,1.4741113032193e-21,7.3705565160963e-22,0.075061072735289,2000
3,300.18209493872,0.37046938820276,0.00031415926535898,1000000.9841028,1000000.6136334,300.00220266137,0.0050918297580436,7.757012330456,0.12151872707391,14.925797126179,1.6036576910816e-05,0,0,6.7508573111716e-06,14.924975720826,1.6026353409635e-05,0,0,6.7533953789693e-06,300.05324616432,1000000.0000593,14.925374446788,1.6033473705508e-05,6.4852265908276e-06,0,5.4129213907007e-09,0.40448058660914,300.00092764291,1000000.3561585,149.25379764414,0.00016036275566155,-6.4924990226083e-05,7.9510178596843e-21,3.9755089298421e-21,0.40486327363386,2000
7,300.62408780435,0.71351579623297,0.00031415926535898,1000002.2725182,1000001.5590024,300.19769873289,0.011590423345862,34.228633224146,0.19589998484563,14.926343571783,1.6030383205938e-05,0,0,1.5370550580626e-05,14.924474688904,1.6002465038001e-05,0,0,1.5374114568325e-05,300.49965686134,1000000.000109,14.925379939005,1.6009654996335e-05,1.4759017252842e-05,0,1.8583222861635e-08,0.92188301093149,300.16093181238,1000001.3017216,149.25399372413,0.00016027742403854,-0.00014774258970091,1.809324859096e-20,9.0466242954799e-21,0.92179288871888,2000
12,301.34235476517,0.6579993609339,0.00031415926535898,1000002.7359442,1000002.0779449,300.65272734737,0.013088853969456,63.157913070918,0.15759292434056,14.926473346895,1.6009847286091e-05,0,0,1.7361617249604e-05,14.924362681552,1.596425369086e-05,0,0,1.736733516504e-05,301.20523217041,1000000.0001046,14.925381833433,1.5972152270331e-05,1.6668415474317e-05,0,2.9858438029368e-08,1.0435939962983,300.58768236815,1000001.9658428,149.25411167979,0.00016004998115376,-0.00016680938400639,2.0428257953642e-20,1.0214128976821e-20,1.0422330749676,2000
17,302.16604758703,0.43530200468376,0.00031415926535898,1000002.6174799,1000002.1821779,301.14609338274,0.011318900524036,78.45217436954,0.094317414327849,14.926327551378,1.5985763945418e-05,0,0,1.5015971798317e-05,14.924502065854,1.5920829917891e-05,0,0,1.5022559039774e-05,301.9877710901,1000000.0000775,14.925379657768,1.5930763737052e-05,1.4415570834121e-05,0,3.5249417834971e-08,0.9048915776106,301.0634611698,1000002.1359484,149.25411522976,0.00015979707698419,-0.00014422832497702,1.7662875327858e-20,8.8314376639289e-21,0.90257173472131,2000
22,303.03622207763,0.31368062633555,0.00031415926535898,1000002.5789663,1000002.2652856,301.65652787606,0.0097227924153058,88.959860597669,0.069709357292557,14.926197352722,1.5960657256526e-05,0,0,1.2900163927611e-05,14.924628199782,1.5875197691134e-05,0,0,1.2907054176524e-05,302.8171728584,1000000.0000723,14.925377961722,1.5887130136243e-05,1.2383501182998e-05,0,3.8180752372128e-08,0.77947117799237,301.55701155036,1000002.1971518,149.2541073795,0.00015953555110117,-0.0001238883210951,1.517194267059e-20,7.585971335295e-21,0.77655619853994,2000
27,303.94975676154,0.31877638655715,0.00031415926535898,1000002.8192515,1000002.5004752,302.23155664711,0.0093868650530573,105.12685206955,0.07684961709517,14.926174112966,1.5932271655892e-05,0,0,1.2456012283606e-05,14.92465691003,1.5827505210744e-05,0,0,1.2463393965697e-05,303.70928189437,1000000.0000872,14.925377647799,1.5840463626117e-05,1.1956082692741e-05,0,4.211582216461e-08,0.75478579113092,302.11537257353,1000002.3835049,149.25413202008,0.00015924073171634,-0.00011962150931375,1.4649408706636e-20,7.3247043533178e-21,0.75119919397778,2000
32,304.92169555414,0.37219164904673,0.00031415926535898,1000003.1565342,1000002.7843425,302.88786762265,0.0097129539197195,126.745500678,0.089448243396273,14.926206369628,1.5899308879107e-05,0,0,1.2889963478677e-05,14.924633603039,1.5777042153128e-05,0,0,1.2898043564919e-05,304.67329786908,1000000.0001002,14.925377982564,1.5790342857325e-05,1.2371790451754e-05,0,4.6554992772336e-08,0.78350914583343,302.75927590232,1000002.6390107,149.25417344318,0.00015890210181042,-0.00012378929999438,1.515981622555e-20,7.5799081127751e-21,0.77902871380559,2000
37,305.95248717767,0.40287598548457,0.00031415926535898,1000003.3944025,1000002.9915265,303.59941738181,0.010016209434423,148.65020495815,0.09486307613522,14.926235398666,1.5862952041321e-05,0,0,1.3293153388187e-05,14.9246108576,1.5723874442592e-05,0,0,1.330182661372e-05,305.69766635204,1000000.0001027,14.925378307558,1.5737430678638e-05,1.2758368651984e-05,0,4.9831859236522e-08,0.810708318862,303.4638806816,1000002.8328578,149.25420555643,0.00015853318194312,-0.00012765873788281,1.5633685480834e-20,7.8168427404168e-21,0.80524932583897,2000
